meter,timestamp,t_kWh,z_Avg Voltage (Volt),z_Avg Current (Amp),y_Freq (Hz)
BR02,2019-07-10 00:00:00,0.20500000000000002,241.746,1.795,50.019
BR02,2019-07-10 00:30:00,0.2,242.452,1.741,50.029
BR02,2019-07-10 01:00:00,0.223,243.73000000000002,1.9169999999999998,50.065
BR02,2019-07-10 01:30:00,0.22299999999999998,244.752,1.893,50.029
BR02,2019-07-10 02:00:00,0.22299999999999998,245.609,1.889,50.019
BR02,2019-07-10 02:30:00,0.22399999999999998,247.455,1.89,50.052
BR02,2019-07-10 03:00:00,0.22499999999999998,248.394,1.884,50.048
BR02,2019-07-10 03:30:00,0.22499999999999998,248.42399999999998,1.879,50.069
BR02,2019-07-10 04:00:00,0.22599999999999998,249.71300000000002,1.8829999999999998,50.063
BR02,2019-07-10 04:30:00,0.22799999999999998,249.69299999999998,1.891,50.011
BR02,2019-07-10 05:00:00,0.22799999999999998,249.59099999999998,1.892,49.958999999999996
BR02,2019-07-10 05:30:00,0.22599999999999998,250.01,1.874,49.991
BR02,2019-07-10 06:00:00,0.155,251.842,1.261,49.946999999999996
BR02,2019-07-10 06:30:00,0.133,251.80900000000003,1.081,50.017
BR02,2019-07-10 07:00:00,0.143,253.829,1.176,50.08
BR02,2019-07-10 07:30:00,0.12,256.195,0.9570000000000001,50.067
BR02,2019-07-10 08:00:00,0.139,253.844,1.149,50.142
BR02,2019-07-10 08:30:00,0.1,251.24900000000002,0.9109999999999999,50.073
BR02,2019-07-10 09:00:00,0.078,250.348,0.77,50.065999999999995
BR02,2019-07-10 09:30:00,0.22,222.63400000000001,2.3120000000000003,45.043
BR02,2019-07-10 10:00:00,0.086,196.821,1.258,40.058
BR02,2019-07-10 10:30:00,0.092,247.913,0.9959999999999999,50.035000000000004
BR02,2019-07-10 11:00:00,0.08399999999999999,247.53000000000003,0.907,50.072
BR02,2019-07-10 11:30:00,0.099,246.22600000000003,0.991,50.005
BR02,2019-07-10 12:00:00,0.078,247.767,0.798,50.012
BR02,2019-07-10 12:30:00,0.097,246.156,0.9269999999999999,50.047000000000004
BR02,2019-07-10 13:00:00,0.131,248.827,1.214,50.114999999999995
BR02,2019-07-10 13:30:00,0.102,247.66199999999998,0.9490000000000001,50.044
BR02,2019-07-10 14:00:00,0.11699999999999999,246.975,1.063,49.976
BR02,2019-07-10 14:30:00,0.14,246.285,1.2440000000000002,49.979
BR02,2019-07-10 15:00:00,0.121,246.865,1.09,49.981
BR02,2019-07-10 15:30:00,0.098,240.445,0.9269999999999999,50.007999999999996
BR02,2019-07-10 16:00:00,0.091,245.512,0.873,50.055
BR02,2019-07-10 16:30:00,0.033,145.81300000000002,0.449,30.034
BR02,2019-07-10 17:00:00,0.093,217.07199999999997,1.369,45.010000000000005
BR02,2019-07-10 17:30:00,0.061,243.217,0.8210000000000001,50.028000000000006
BR02,2019-07-10 18:00:00,0.294,242.94400000000002,2.846,50.034
BR02,2019-07-10 18:30:00,0.148,244.752,1.479,50.016
BR02,2019-07-10 19:00:00,0.063,248.70700000000002,0.705,50.022000000000006
BR02,2019-07-10 19:30:00,0.064,249.762,0.6809999999999999,50.077999999999996
BR02,2019-07-10 20:00:00,0.06,248.077,0.634,49.999
BR02,2019-07-10 20:30:00,0.161,244.109,1.423,49.971
BR02,2019-07-10 21:00:00,0.17500000000000002,241.575,1.545,50.04
BR02,2019-07-10 21:30:00,0.134,243.647,1.24,50.062
BR02,2019-07-10 22:00:00,0.172,241.705,1.509,50.022000000000006
BR02,2019-07-10 22:30:00,0.206,193.12,1.971,40.036
BR02,2019-07-10 23:00:00,0.216,221.67800000000003,2.301,45.052
BR02,2019-07-10 23:30:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 00:00:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 00:30:00,0.128,100.444,1.386,20.014
BR02,2019-07-11 01:00:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 01:30:00,0.033,50.511,0.518,10.01
BR02,2019-07-11 02:00:00,0.085,101.045,1.1320000000000001,20.029
BR02,2019-07-11 02:30:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 03:00:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 03:30:00,0.001,51.541,0.27999999999999997,10.011
BR02,2019-07-11 04:00:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 04:30:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 05:00:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 05:30:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 06:00:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 06:30:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 07:00:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 07:30:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 08:00:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 08:30:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 09:00:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 09:30:00,0.0,0.0,0.0,0.0
BR02,2019-07-11 10:00:00,0.132,78.41999999999999,1.499,15.014
BR02,2019-07-11 10:30:00,0.259,199.372,3.082,40.066
BR02,2019-07-11 11:00:00,0.026,75.313,0.763,15.015
BR02,2019-07-11 11:30:00,0.245,252.93200000000002,3.0140000000000002,50.082
BR02,2019-07-11 12:00:00,0.225,253.349,2.836,50.063
